ID_ligne,ID_client,Segment,ID_commande,ID_produit,Categorie,Date_de_commande,Date_d_expedition,Montant_des_ventes,Quantite,Profit,Remise
40,TB-21280,Grand public,IT-2015-5016792,FOU-AR-10001216,Fournitures de bureau,10-1-15,12-1-15,75.6,5,27.15,0.0
41,BL-11830,Entreprise,IT-2014-2373016,FOU-FO-10004168,Fournitures de bureau,8-11-14,11-11-14,15.0,1,-9.3,0.5
42,BL-11830,Entreprise,IT-2014-2373016,FOU-CL-10001907,Fournitures de bureau,8-11-14,11-11-14,14.04,4,0.0,0.5
43,BL-11830,Entreprise,IT-2014-2373016,FOU-AR-10003297,Fournitures de bureau,8-11-14,11-11-14,33.075,5,-11.93,0.5
44,CB-12265,Grand public,ES-2012-3186072,PRO-PH-10003330,Produits technologiques,27-9-12,1-10-12,1892.25,5,170.25,0.0
45,CB-12265,Grand public,ES-2012-3186072,PRO-AC-10002330,Produits technologiques,27-9-12,1-10-12,122.04,4,52.44,0.0
46,CB-12265,Grand public,ES-2012-3186072,PRO-PH-10004483,Produits technologiques,27-9-12,1-10-12,1140.75,3,239.49,0.0
47,TA-21175,Entreprise,ES-2012-5235241,FOU-FO-10002272,Fournitures de bureau,26-8-12,27-8-12,84.3,2,28.62,0.0
48,TA-21175,Entreprise,ES-2012-5235241,PRO-PH-10003064,Produits technologiques,26-8-12,27-8-12,538.203,2,-19.02,0.15
49,TA-21175,Entreprise,ES-2012-5235241,FOU-AR-10004327,Fournitures de bureau,26-8-12,27-8-12,157.86,3,29.97,0.0
50,MG-17455,Grand public,ES-2015-5640080,FOU-FO-10002716,Fournitures de bureau,16-4-15,20-4-15,106.56,3,37.26,0.0
51,GA-15100,Grand public,IT-2015-2321796,FOU-ST-10002208,Fournitures de bureau,2-4-15,7-4-15,72.0,3,-5.76,0.5
52,PP-19330,Grand public,ES-2015-4777800,FOU-AR-10002453,Fournitures de bureau,26-11-15,29-11-15,227.28,4,34.08,0.0
53,HF-15715,Grand public,ES-2015-3937023,FOU-AR-10002710,Fournitures de bureau,7-11-15,11-11-15,46.92,2,15.9,0.0
54,HF-15715,Grand public,ES-2015-3937023,FOU-AR-10002892,Fournitures de bureau,7-11-15,11-11-15,34.02,2,14.28,0.0
55,PG-19315,Grand public,ES-2015-1324878,MOB-BI-10002102,Mobilier,3-7-15,8-7-15,854.28,7,196.35,0.0
56,XP-21835,Grand public,ES-2012-4620955,FOU-AR-10001034,Fournitures de bureau,8-12-12,10-12-12,59.22,2,20.7,0.0
57,XP-21835,Grand public,ES-2012-4620955,FOU-ST-10002518,Fournitures de bureau,8-12-12,10-12-12,45.927,3,18.84,0.1
58,AB-11335,Petite et moyenne entreprise,ES-2014-4122424,FOU-AR-10002287,Fournitures de bureau,17-7-14,20-7-14,190.89,7,32.34,0.0
59,AB-11335,Petite et moyenne entreprise,ES-2014-4122424,MOB-TA-10001292,Mobilier,17-7-14,20-7-14,214.848,2,-247.09,0.6
60,GC-14725,Grand public,ES-2014-4569090,FOU-AR-10002052,Fournitures de bureau,29-8-14,3-9-14,30.15,3,14.76,0.0
61,GC-14725,Grand public,ES-2014-4569090,PRO-MA-10000149,Produits technologiques,29-8-14,3-9-14,145.584,2,-82.54,0.4
62,GC-14725,Grand public,ES-2014-4569090,FOU-ÉT-10001465,Fournitures de bureau,29-8-14,3-9-14,20.64,2,6.36,0.0
63,GC-14725,Grand public,ES-2014-4569090,FOU-ÉL-10002659,Fournitures de bureau,29-8-14,3-9-14,15.03,1,6.0,0.0
64,GC-14725,Grand public,ES-2014-4569090,FOU-ST-10000155,Fournitures de bureau,29-8-14,3-9-14,275.616,8,45.94,0.4
65,JL-15850,Grand public,IT-2015-4707944,MOB-BI-10004122,Mobilier,14-8-15,16-8-15,221.292,2,-22.19,0.1
66,JL-15850,Grand public,IT-2015-4707944,FOU-FO-10004168,Fournitures de bureau,14-8-15,16-8-15,150.0,5,28.5,0.0
67,JL-15850,Grand public,IT-2015-4707944,PRO-PH-10000245,Produits technologiques,14-8-15,16-8-15,757.32,2,371.04,0.0
68,CD-12640,Grand public,ES-2012-5220738,FOU-PA-10003863,Fournitures de bureau,21-12-12,23-12-12,50.58,3,9.09,0.0
69,CD-12640,Grand public,ES-2012-5220738,FOU-AR-10002732,Fournitures de bureau,21-12-12,23-12-12,107.4,2,0.0,0.0
70,TG-20830,Grand public,ES-2012-5287434,FOU-AR-10001654,Fournitures de bureau,31-3-12,4-4-12,34.11,3,7.83,0.0
71,TG-20830,Grand public,ES-2012-5287434,MOB-BI-10004943,Mobilier,31-3-12,4-4-12,2624.04,6,446.04,0.0
72,TG-20830,Grand public,ES-2012-5287434,FOU-ST-10002971,Fournitures de bureau,31-3-12,4-4-12,423.24,2,29.58,0.0
73,FD-14410,Petite et moyenne entreprise,ES-2015-4856325,PRO-AC-10001501,Produits technologiques,25-4-15,26-4-15,402.78,7,92.61,0.0
74,EC-13780,Grand public,ES-2015-1193193,MOB-CH-10003411,Mobilier,21-5-15,23-5-15,173.097,3,69.24,0.1
75,CT-12160,Grand public,ES-2014-4456541,FOU-CL-10002858,Fournitures de bureau,7-8-14,11-8-14,28.95,5,7.8,0.0
76,SD-20335,Grand public,ES-2012-4932761,FOU-ST-10000950,Fournitures de bureau,18-5-12,24-5-12,964.53,7,125.37,0.0
77,SD-20335,Grand public,ES-2012-4932761,MOB-ME-10004572,Mobilier,18-5-12,24-5-12,87.3,2,27.06,0.0
78,SD-20335,Grand public,ES-2012-4932761,MOB-CH-10001047,Mobilier,18-5-12,24-5-12,1058.58,6,105.84,0.0
79,TD-20935,Grand public,ES-2015-3249626,FOU-FO-10002900,Fournitures de bureau,10-7-15,14-7-15,85.5,2,18.78,0.0
80,NH-18100,Grand public,ES-2015-1016124,FOU-CL-10002252,Fournitures de bureau,8-2-15,13-2-15,30.66,2,1.5,0.0
81,CL-12805,Entreprise,ES-2015-2105640,FOU-ST-10004687,Fournitures de bureau,4-9-15,6-9-15,590.94,3,118.17,0.0
82,CL-12805,Entreprise,ES-2015-2105640,PRO-TÉ-10002702,Produits technologiques,4-9-15,6-9-15,520.8,7,10.29,0.0
83,SB-20635,Entreprise,ES-2013-3032254,MOB-TA-10002105,Mobilier,30-8-13,2-9-13,2794.252,5,515.75,0.35
84,SB-20635,Entreprise,ES-2013-3032254,FOU-EN-10000922,Fournitures de bureau,30-8-13,2-9-13,43.2,6,19.44,0.0
85,PS-19030,Entreprise,ES-2015-5791774,MOB-BI-10004462,Mobilier,13-3-15,13-3-15,511.02,3,30.6,0.0
86,PS-19030,Entreprise,ES-2015-5791774,MOB-BI-10004610,Mobilier,13-3-15,13-3-15,788.4,4,291.6,0.0
87,PS-19030,Entreprise,ES-2015-5791774,FOU-AR-10001585,Fournitures de bureau,13-3-15,13-3-15,126.0,8,13.68,0.0
88,PS-19030,Entreprise,ES-2015-5791774,PRO-PH-10000429,Produits technologiques,13-3-15,13-3-15,318.03,1,73.14,0.0
89,OB-18430,Grand public,ES-2014-2386093,PRO-AC-10001108,Produits technologiques,1-8-14,7-8-14,388.92,7,58.17,0.0
90,OB-18430,Grand public,ES-2014-2386093,MOB-BI-10003160,Mobilier,1-8-14,7-8-14,441.9,3,30.87,0.0
91,OB-18430,Grand public,ES-2014-2386093,PRO-MA-10001276,Produits technologiques,1-8-14,7-8-14,1002.6,6,451.08,0.0
92,OB-18430,Grand public,ES-2014-2386093,FOU-CL-10001473,Fournitures de bureau,1-8-14,7-8-14,57.3,5,14.85,0.0
93,FM-14200,Petite et moyenne entreprise,ES-2015-5631536,PRO-MA-10000185,Produits technologiques,6-10-15,10-10-15,799.47,3,199.8,0.0
94,FM-14200,Petite et moyenne entreprise,ES-2015-5631536,PRO-TÉ-10001966,Produits technologiques,6-10-15,10-10-15,955.5,7,276.99,0.0
95,FM-14200,Petite et moyenne entreprise,ES-2015-5631536,FOU-EN-10003515,Fournitures de bureau,6-10-15,10-10-15,25.08,2,12.0,0.0
96,FM-14200,Petite et moyenne entreprise,ES-2015-5631536,FOU-FO-10002990,Fournitures de bureau,6-10-15,10-10-15,11.13,1,4.11,0.0
97,FM-14200,Petite et moyenne entreprise,ES-2015-5631536,MOB-BI-10002290,Mobilier,6-10-15,10-10-15,246.9,2,34.56,0.0
98,FM-14200,Petite et moyenne entreprise,ES-2015-5631536,FOU-AR-10003446,Fournitures de bureau,6-10-15,10-10-15,51.78,1,19.14,0.0
99,FM-14200,Petite et moyenne entreprise,ES-2015-5631536,PRO-MA-10001819,Produits technologiques,6-10-15,10-10-15,162.18,2,22.68,0.0
100,NG-18190,Grand public,ES-2014-5581781,MOB-ME-10004873,Mobilier,28-8-14,1-9-14,195.72,4,27.36,0.0
101,PB-18805,Petite et moyenne entreprise,ES-2013-1530191,FOU-CL-10003917,Fournitures de bureau,13-11-13,15-11-13,25.47,3,7.11,0.0
102,LG-16465,Grand public,ES-2014-3971877,FOU-AR-10003411,Fournitures de bureau,30-5-14,2-6-14,164.7,3,29.61,0.0
103,LG-16465,Grand public,ES-2014-3971877,FOU-CL-10003924,Fournitures de bureau,30-5-14,2-6-14,20.07,3,5.13,0.0
104,GL-15400,Entreprise,ES-2013-1915501,FOU-AR-10003527,Fournitures de bureau,18-1-13,20-1-13,42.84,3,19.62,0.0
105,MD-17260,Grand public,IT-2014-4388990,MOB-ME-10002724,Mobilier,10-8-14,13-8-14,84.24,6,-15.84,0.2
106,MD-17260,Grand public,IT-2014-4388990,FOU-ST-10000376,Fournitures de bureau,10-8-14,13-8-14,30.69,2,-29.49,0.5
107,LB-16555,Entreprise,ES-2014-3029399,FOU-PA-10003666,Fournitures de bureau,27-9-14,28-9-14,35.76,2,9.6,0.0
108,GS-14710,Grand public,ES-2012-3805636,FOU-ST-10000781,Fournitures de bureau,17-10-12,24-10-12,38.664,4,11.54,0.1
109,GS-14710,Grand public,ES-2012-3805636,MOB-BI-10002381,Mobilier,17-10-12,24-10-12,723.72,2,253.26,0.0
110,GS-14710,Grand public,ES-2012-3805636,MOB-CH-10001711,Mobilier,17-10-12,24-10-12,1838.52,5,160.77,0.2
111,FB-14350,Grand public,ES-2015-2774938,FOU-AR-10000415,Fournitures de bureau,1-1-15,3-1-15,29.55,1,0.0,0.0
112,FB-14350,Grand public,ES-2015-2774938,FOU-ÉT-10004279,Fournitures de bureau,1-1-15,3-1-15,13.8,2,4.92,0.0
113,FB-14350,Grand public,ES-2015-2774938,PRO-MA-10004820,Produits technologiques,1-1-15,3-1-15,677.408,3,-111.62,0.15
114,MG-17035,Entreprise,ES-2012-1406120,PRO-TÉ-10002429,Produits technologiques,3-12-12,3-12-12,3227.7,5,742.35,0.0
115,MG-17035,Entreprise,ES-2012-1406120,PRO-MA-10004314,Produits technologiques,3-12-12,3-12-12,379.44,8,128.88,0.0
116,MG-17035,Entreprise,ES-2012-1406120,FOU-CL-10000338,Fournitures de bureau,3-12-12,3-12-12,52.59,1,12.6,0.0
117,MG-17035,Entreprise,ES-2012-1406120,MOB-BI-10003424,Mobilier,3-12-12,3-12-12,990.468,3,242.03,0.1
118,MG-17035,Entreprise,ES-2012-1406120,MOB-ME-10003824,Mobilier,3-12-12,3-12-12,50.31,1,19.11,0.0
119,MG-17035,Entreprise,ES-2012-1406120,MOB-CH-10004869,Mobilier,3-12-12,3-12-12,219.834,3,90.32,0.1
120,AP-11140,Grand public,ES-2012-3667388,FOU-PA-10000615,Fournitures de bureau,23-9-12,28-9-12,85.14,3,4.23,0.0
121,LL-16630,Entreprise,ES-2012-1720401,FOU-ÉL-10004124,Fournitures de bureau,18-2-12,24-2-12,34.56,3,13.77,0.0
122,MB-17500,Grand public,ES-2015-2818758,FOU-AR-10004067,Fournitures de bureau,9-6-15,9-6-15,26.67,1,1.05,0.0
123,MB-17500,Grand public,ES-2015-2818758,PRO-MA-10004835,Produits technologiques,9-6-15,9-6-15,1062.534,4,-175.03,0.15
124,MB-17500,Grand public,ES-2015-2818758,FOU-AR-10004693,Fournitures de bureau,9-6-15,9-6-15,73.53,3,29.34,0.0
125,MB-17500,Grand public,ES-2015-2818758,FOU-PA-10004345,Fournitures de bureau,9-6-15,9-6-15,179.88,4,53.88,0.0
126,FA-14560,Entreprise,IT-2013-1191900,MOB-BI-10002376,Mobilier,15-6-13,15-6-13,987.957,3,-54.96,0.1
127,GL-14755,Grand public,ES-2015-3484812,FOU-PA-10003703,Fournitures de bureau,24-10-15,26-10-15,67.92,2,28.5,0.0
128,GL-14755,Grand public,ES-2015-3484812,FOU-ST-10003953,Fournitures de bureau,24-10-15,26-10-15,74.556,2,-43.52,0.4
129,GL-14755,Grand public,ES-2015-3484812,FOU-CL-10002449,Fournitures de bureau,24-10-15,26-10-15,20.16,2,9.24,0.0
130,JP-16105,Entreprise,ES-2012-2377967,FOU-CL-10001585,Fournitures de bureau,24-2-12,28-2-12,308.7,6,77.04,0.0
131,JP-16105,Entreprise,ES-2012-2377967,MOB-BI-10002873,Mobilier,24-2-12,28-2-12,2076.0,5,103.8,0.0
132,JP-16105,Entreprise,ES-2012-2377967,PRO-PH-10002350,Produits technologiques,24-2-12,28-2-12,524.58,2,57.66,0.0
133,AL-10840,Grand public,ES-2013-5757351,FOU-PA-10004978,Fournitures de bureau,4-4-13,4-4-13,122.76,4,56.4,0.0
134,AC-10180,Petite et moyenne entreprise,ES-2014-1169960,FOU-ST-10004207,Fournitures de bureau,20-12-14,25-12-14,575.64,5,51.09,0.1
135,AC-10615,Entreprise,IT-2015-4554442,FOU-CL-10000117,Fournitures de bureau,27-6-15,3-7-15,34.29,3,12.33,0.0
136,ML-17425,Entreprise,IT-2012-1900372,FOU-ST-10000947,Fournitures de bureau,26-9-12,1-10-12,54.432,3,-3.08,0.1
137,ML-17425,Entreprise,IT-2012-1900372,FOU-AR-10001034,Fournitures de bureau,26-9-12,1-10-12,236.88,8,82.8,0.0
138,LC-16870,Grand public,ES-2012-1749151,FOU-AR-10000080,Fournitures de bureau,13-6-12,18-6-12,47.88,3,17.64,0.0
139,LC-16870,Grand public,ES-2012-1749151,FOU-CL-10003491,Fournitures de bureau,13-6-12,18-6-12,271.08,9,51.3,0.0
140,CL-13060,Grand public,ES-2014-4897406,PRO-MA-10003003,Produits technologiques,16-10-14,18-10-14,1306.467,6,107.49,0.15
141,DC-13645,Grand public,ES-2012-1401137,FOU-AR-10003260,Fournitures de bureau,31-8-12,4-9-12,113.58,6,40.86,0.0
142,DC-13645,Grand public,ES-2012-1401137,FOU-ST-10003652,Fournitures de bureau,31-8-12,4-9-12,374.058,2,141.26,0.1
143,AL-11365,Entreprise,IT-2012-5134922,FOU-PA-10000998,Fournitures de bureau,15-10-12,17-10-12,14.895,1,-4.18,0.5
144,AL-11365,Entreprise,IT-2012-5134922,FOU-ST-10002344,Fournitures de bureau,15-10-12,17-10-12,151.875,5,-3.08,0.5
145,NH-18070,Petite et moyenne entreprise,IT-2013-2655811,PRO-AC-10004629,Produits technologiques,15-6-13,21-6-13,86.04,4,-29.28,0.5
146,NH-18070,Petite et moyenne entreprise,IT-2013-2655811,FOU-AR-10001734,Fournitures de bureau,15-6-13,21-6-13,48.87,2,-20.55,0.5
147,BL-11830,Entreprise,ES-2014-1621921,FOU-AR-10003297,Fournitures de bureau,2-4-14,3-4-14,26.46,2,8.46,0.0
148,BL-11830,Entreprise,ES-2014-1621921,FOU-ÉL-10004575,Fournitures de bureau,2-4-14,3-4-14,2636.85,5,949.2,0.0
149,BL-11830,Entreprise,ES-2014-1621921,FOU-PA-10000587,Fournitures de bureau,2-4-14,3-4-14,135.72,4,14.88,0.0
150,BL-11830,Entreprise,ES-2014-1621921,FOU-PA-10003738,Fournitures de bureau,2-4-14,3-4-14,227.28,8,95.28,0.0
151,BL-11830,Entreprise,ES-2014-1621921,MOB-BI-10002105,Mobilier,2-4-14,3-4-14,370.53,3,40.68,0.0
152,SQ-20740,Petite et moyenne entreprise,ES-2014-2926991,FOU-CL-10002465,Fournitures de bureau,14-6-14,21-6-14,83.97,3,27.63,0.0
153,SQ-20740,Petite et moyenne entreprise,ES-2014-2926991,PRO-PH-10000815,Produits technologiques,14-6-14,21-6-14,760.38,2,235.68,0.0
154,SQ-20740,Petite et moyenne entreprise,ES-2014-2926991,FOU-CL-10000157,Fournitures de bureau,14-6-14,21-6-14,44.46,3,19.98,0.0
155,SQ-20740,Petite et moyenne entreprise,ES-2014-2926991,FOU-CL-10002465,Fournitures de bureau,14-6-14,21-6-14,83.97,3,27.63,0.0
156,SQ-20740,Petite et moyenne entreprise,ES-2014-2926991,PRO-AC-10003527,Produits technologiques,14-6-14,21-6-14,2078.64,8,852.24,0.0
157,PB-19210,Entreprise,ES-2015-4717877,MOB-BI-10001805,Mobilier,23-12-15,23-12-15,437.724,4,165.32,0.1
158,TM-21145,Entreprise,ES-2015-1771479,FOU-AR-10002052,Fournitures de bureau,12-5-15,14-5-15,30.15,3,14.76,0.0
159,AL-10885,Grand public,ES-2014-5376470,FOU-ST-10000993,Fournitures de bureau,3-1-14,9-1-14,617.895,5,205.84,0.1
160,NV-18055,Grand public,ES-2012-3911616,FOU-FO-10004855,Fournitures de bureau,4-11-12,9-11-12,102.87,3,40.05,0.0
161,NV-18055,Grand public,ES-2012-3911616,FOU-ST-10001716,Fournitures de bureau,4-11-12,9-11-12,230.202,2,5.08,0.1
162,MG-17965,Entreprise,ES-2015-5347900,FOU-AR-10000761,Fournitures de bureau,18-3-15,18-3-15,67.41,6,-67.41,0.5
163,GL-15085,Grand public,ES-2014-3895853,FOU-CL-10000514,Fournitures de bureau,28-2-14,1-3-14,42.6,4,10.56,0.0
164,RD-20140,Entreprise,IT-2014-3695467,FOU-ÉL-10004333,Fournitures de bureau,10-6-14,14-6-14,3399.66,12,-3059.82,0.5
165,AL-10405,Entreprise,ES-2012-3540276,FOU-CL-10002465,Fournitures de bureau,8-6-12,12-6-12,25.191,1,6.41,0.1
166,AL-10405,Entreprise,ES-2012-3540276,PRO-AC-10004884,Produits technologiques,8-6-12,12-6-12,112.833,3,-12.54,0.1
167,AL-10405,Entreprise,ES-2012-3540276,PRO-PH-10004296,Produits technologiques,8-6-12,12-6-12,859.653,3,-0.03,0.1
168,AL-10405,Entreprise,ES-2012-3540276,FOU-CL-10002858,Fournitures de bureau,8-6-12,12-6-12,10.422,2,1.96,0.1
169,AL-10405,Entreprise,ES-2012-3540276,MOB-ME-10001736,Mobilier,8-6-12,12-6-12,288.684,3,48.11,0.1
170,AL-10405,Entreprise,ES-2012-3540276,FOU-CL-10003973,Fournitures de bureau,8-6-12,12-6-12,55.62,5,21.57,0.1
171,HF-15715,Grand public,ES-2012-5894162,FOU-AR-10004341,Fournitures de bureau,21-11-12,26-11-12,94.35,5,23.55,0.0
172,AB-10150,Grand public,ES-2013-5284545,FOU-AR-10004103,Fournitures de bureau,29-5-13,2-6-13,53.64,3,18.18,0.0
173,AB-10150,Grand public,ES-2013-5284545,PRO-MA-10002911,Produits technologiques,29-5-13,2-6-13,442.476,4,83.56,0.1
174,AB-10150,Grand public,ES-2013-5284545,FOU-CL-10002641,Fournitures de bureau,29-5-13,2-6-13,25.32,4,0.96,0.0
175,HF-15715,Grand public,ES-2014-3480627,PRO-AC-10004583,Produits technologiques,15-2-14,19-2-14,167.34,2,55.2,0.0
176,HF-15715,Grand public,ES-2014-3480627,FOU-ÉL-10003477,Fournitures de bureau,15-2-14,19-2-14,48.33,3,15.93,0.0
177,MG-17545,Petite et moyenne entreprise,IT-2014-2720003,MOB-BI-10000930,Mobilier,4-12-14,6-12-14,401.355,3,44.59,0.1
178,MG-17545,Petite et moyenne entreprise,IT-2014-2720003,FOU-EN-10000211,Fournitures de bureau,4-12-14,6-12-14,49.32,1,4.92,0.0
179,GD-14920,Grand public,ES-2013-5980468,MOB-CH-10003399,Mobilier,29-8-13,3-9-13,263.655,5,17.5,0.1
180,MT-17380,Entreprise,ES-2013-5512464,FOU-EN-10004743,Fournitures de bureau,5-6-13,11-6-13,35.73,3,8.55,0.0
181,JM-15895,Entreprise,IT-2015-5192801,FOU-ÉT-10001584,Fournitures de bureau,25-12-15,1-1-16,23.73,7,-21.0,0.5
182,ÉD-13840,Entreprise,ES-2014-1788644,FOU-AR-10000397,Fournitures de bureau,27-5-14,1-6-14,181.26,6,28.98,0.0
183,ÉD-13840,Entreprise,ES-2014-1788644,PRO-TÉ-10000826,Produits technologiques,27-5-14,1-6-14,1062.81,7,265.65,0.0
184,ÉD-13840,Entreprise,ES-2014-1788644,FOU-ST-10002754,Fournitures de bureau,27-5-14,1-6-14,96.714,2,2.09,0.1
185,GR-14995,Grand public,ES-2013-4698340,PRO-PH-10000169,Produits technologiques,31-8-13,1-9-13,632.145,5,252.79,0.15
186,JM-16135,Petite et moyenne entreprise,ES-2015-3802139,FOU-ÉL-10003878,Fournitures de bureau,23-6-15,26-6-15,33.06,2,14.52,0.0
187,DL-13330,Grand public,IT-2012-3760449,FOU-AR-10001336,Fournitures de bureau,3-8-12,5-8-12,47.952,2,-0.59,0.1
188,DL-13330,Grand public,IT-2012-3760449,MOB-CH-10004869,Mobilier,3-8-12,5-8-12,195.408,3,65.9,0.2
189,DL-13330,Grand public,IT-2012-3760449,FOU-FO-10004240,Fournitures de bureau,3-8-12,5-8-12,73.926,2,31.99,0.1
190,DL-13330,Grand public,IT-2012-3760449,FOU-EN-10004350,Fournitures de bureau,3-8-12,5-8-12,58.104,4,21.86,0.1
191,MD-16960,Petite et moyenne entreprise,IT-2013-4187289,FOU-ÉL-10002070,Fournitures de bureau,9-5-13,11-5-13,10.95,2,-6.57,0.5
192,PB-19210,Entreprise,ES-2015-3655961,FOU-PA-10001330,Fournitures de bureau,16-12-15,21-12-15,67.86,2,27.78,0.0
193,PB-19210,Entreprise,ES-2015-3655961,PRO-AC-10000454,Produits technologiques,16-12-15,21-12-15,129.06,3,46.44,0.0
194,PB-19210,Entreprise,ES-2015-3655961,FOU-ST-10004036,Fournitures de bureau,16-12-15,21-12-15,260.793,13,109.86,0.1
